	@relation DataExtraction

	@attribute Sentence string
	@attribute Subject string
	@attribute Predicate string
	@attribute Object string
	@attribute class {'True','False'}

	@data
	'Obama was born in USA','<http://example.org/Obama>','<http://example.org/birthplce>','<http://example.org/USA>','True'
	'Sachin was born in India','<http://example.org/Ronaldo>','<http://example.org/birthplce>','<http://example.org/USA>','False'
	'Obama was born in USA','<http://example.org/Ronaldo>','<http://example.org/birthplce>','<http://example.org/USA>','False'
	'Obama was born in USA','<http://example.org/Sachin>','<http://example.org/birthplce>','<http://example.org/USA>','False'
	'Kaith was died in USA','<http://example.org/Kaith>','<http://example.org/died>','<http://example.org/USA>','True'	
	'Sachin was born in India','<http://example.org/Messi>','<http://example.org/birthplce>','<http://example.org/USA>','False'
	'Obama was born in USA','<http://example.org/Obama>','<http://example.org/birthplce>','<http://example.org/Portugal>','False'
	'Hitler was born in Germany', '<http://example.org/Hitler>','<http://example.org/birthplce>','<http://example.org/Germany>',"True"
	'Harry was born in England', '<http://example.org/Tan>','<http://example.org/birthplce>','<http://example.org/England>',"True"
	'Diana was died in England', '<http://example.org/Diana>','<http://example.org/died>','<http://example.org/England>',"True"
	'Diana was born in England', '<http://example.org/Diana>','<http://example.org/died>','<http://example.org/England>',"False"
	'Ana was died in Finland', '<http://example.org/Ana>','<http://example.org/died>','<http://example.org/Finland>',"True"		
	'John was born in USA', '<http://example.org/John>','<http://example.org/birthplce>','<http://example.org/Canada>',"False"
	'Ronaldo was born in Portugal','<http://example.org/Ronaldo>','<http://example.org/birthplce>','<http://example.org/Portugal>','True'
	'Sachin was born in India','<http://example.org/Messi>','<http://example.org/birthplce>','<http://example.org/Portugal>','False'
	'Messi was born in Argentina','<http://example.org/Obama>','<http://example.org/birthplce>','<http://example.org/India>','False'
	'Sachin was born in India','<http://example.org/Obama>','<http://example.org/birthplce>','<http://example.org/India>','False'
	'Ronaldo was born in Argentina','<http://example.org/Ronaldo>','<http://example.org/birthplce>','<http://example.org/India>','False'
	'Sachin was born in India','<http://example.org/Ronaldo>','<http://example.org/birthplce>','<http://example.org/India>','False'
	'Obama was born in USA','<http://example.org/Ronaldo>','<http://example.org/birthplce>','<http://example.org/India>','False'
	'Sachin was born in India','<http://example.org/Sachin>','<http://example.org/birthplce>','<http://example.org/India>','True'
	'Obama was born in USA','<http://example.org/Sachin>','<http://example.org/birthplce>','<http://example.org/India>','False'
